Продукт,Белки,Жиры,Углеводы,Калорийность
Американская смесь Hortex,2.4,0.5,5.1,39
Белые грибы Hortex,3.7,1.7,1.1,34
Белые жареные,4.6,11.5,10.7,162
Белые маринованные,3.0,0.5,2.0,24
Белые свежие,3.7,1.7,1.1,34
Белые сушёные,23.4,6.4,31.0,282
Валуи,3.7,1.7,1.1,29
Вешенки маринованные Steinhauer,1.0,1.5,0.0,23
Вешенки свежие,2.5,0.3,6.5,38
Грибное ассорти 4 сезона,2.9,0.9,13.0,27
Грибное ассорти быстрозамороженное,2.2,0.8,0.7,20
Грибное ризотто Бондюэль в томатном соусе,2.4,0.8,16.3,82
Грибной жульен Hortex,2.6,0.5,2.6,30
Грузди маринованные Steinhauer,1.0,1.8,0.0,26
Грузди свежие,1.8,0.5,0.8,16
Дождевики,4.3,1.0,1.0,27
Еноки,2.7,0.4,0.2,42
Лесные грибы Hortex,2.2,0.7,3.9,35
Лесные грибы Hortex с картошкой,2.6,1.5,5.5,51
Лисички быстрозамороженные Свой урожай,1.5,1.0,1.0,19
Лисички свежие,1.6,1.1,2.2,20
Лисички сушёные,22.3,7.6,24.2,261
Маслята маринованные Золотая Долина,3.0,0.5,1.4,18
Маслята свежие,2.4,0.7,1.7,19
Морской гриб,1.9,0.1,26.5,132
Опята маринованные,1.8,1.0,0.4,18
Опята свежие,2.2,1.2,0.5,17
Опята целые Sunfeel,3.0,0.0,4.0,40
Опятки Hortex,2.2,1.2,0.8,23
Подберёзовики свежие,2.3,0.9,3.7,31
Подберёзовики сушёные,23.5,9.2,14.3,231
Подосиновики свежие,4.1,0.7,1.8,22
Подосиновики сушёные,35.4,5.4,33.2,315
Польский гриб,1.7,0.7,1.5,19
Портобелло жареные на гриле,4.3,0.8,2.7,35
Портобелло свежие,2.5,0.2,3.6,26
Рыжики свежие,1.9,0.8,2.7,17
Смесь Грибной дуэт Планета Витаминов Маслята и Опята,5.7,4.7,9.8,20
Сморчки свежие,1.7,0.3,4.2,27
Сыроежки свежие,1.7,0.7,1.5,15
Трюфели свежие,5.9,0.5,5.3,51
Чернушки,1.5,0.3,0.1,9
Шампиньоны 4 сезона нарезанные,4.5,1.0,0.1,27
Шампиньоны Hortex резаные,2.6,0.4,0.5,20
Шампиньоны Hortex целые,2.6,0.4,0.5,20
Шампиньоны Бондюэль резаные,2.3,0.5,0.5,16
Шампиньоны Бондюэль резаные замороженные,2.4,0.0,3.7,22
Шампиньоны Бондюэль целые,2.3,0.5,0.5,16
Шампиньоны Каждый день резаные,4.3,1.0,0.1,27
Шампиньоны консервированные,1.6,0.2,0.9,12
Шампиньоны королевские,4.6,0.4,1.3,25
Шампиньоны свежие,4.3,1.0,0.1,27
Шампиньоны сушеные,26.8,4.5,30.0,261
Шиитаке свежие,2.2,0.5,6.8,34
Шиитаке сушеные,19.3,0.0,63.4,331
Эринги,3.3,0.4,4.2,43
Колбаса вареная Велком языковая,14.0,17.0,0.0,210
Колбаса вареная Вязанка классическая,11.0,13.0,0.0,161
Колбаса вареная диетическая,12.1,13.5,0.0,170
Колбаса вареная докторская,12.8,22.2,1.5,257
Колбаса вареная Клинский телячья,13.0,22.0,0.0,252
Колбаса вареная куриная,15.5,16.2,2.3,223
Колбаса вареная любительская,12.2,28.0,0.1,301
Колбаса вареная молочная,11.7,22.8,0.2,252
Колбаса вареная мортаделла,16.4,25.3,3.1,331
Колбаса вареная московская,11.5,21.8,2.0,250
Колбаса вареная русская,11.8,28.9,0.0,302
Колбаса вареная свиная,10.8,25.8,0.5,277
Колбаса вареная столичная,15.1,28.7,0.0,319
Колбаса вареная столовая,11.1,20.2,1.9,234
Колбаса вареная чайная,11.7,18.4,1.9,216
Колбаса варено-копченая Востряково из курицы,19.0,11.0,0.0,179
Колбаса варено-копченая куриная жареная,19.7,17.4,1.7,371
Колбаса варено-копченая любительская,17.2,39.0,0.2,420
Колбаса варено-копченая московская,19.1,36.6,0.2,406
Колбаса варено-копченая Рублёвский Балыковая,12.0,25.0,0.0,270
Колбаса варено-копченая сервелат,16.1,40.1,0.0,425
Колбаса варено-копченая сервелат боярский,14.0,21.0,0.0,269
Колбаса варено-копченая сервелат Велком финский,15.0,25.5,0.0,290
Колбаса варено-копченая сервелат Вязанка Столичный,15.0,27.0,0.0,303
Колбаса варено-копченая сервелат Дымов в вакууме,14.0,24.0,0.0,272
Колбаса варено-копченая сервелат Дымов Ореховый,13.0,38.0,0.0,394
Колбаса варено-копченая сервелат Клинский Финский,13.0,32.0,0.0,340
Колбаса варено-копченая сервелат Останкино Зернистый,10.0,37.0,0.0,385
Колбаса варено-копченая сервелат российский,13.0,39.0,1.0,410
Колбаса вегетарианская,21.7,12.3,1.8,207
Колбаса вегетарианская Велком Классическая,4.0,5.0,9.0,100
Колбаса вегетарианская Велком с грибами,4.0,5.0,8.0,90
Колбаса вегетарианская горячего копчения Московская Премиум,20.0,22.0,8.0,210
Колбаса вегетарианская полукопченая Vego с сыром постная,19.0,16.0,12.0,270
Колбаса ливерная,14.4,28.5,2.2,326
Колбаса ливерная Атяшево Печеночная,4.0,16.0,11.0,200
Колбаса ливерная баварская,11.0,18.0,2.0,210
Колбаса ливерная Окраина традиционная,13.0,19.0,6.0,250
Колбаса ливерная Рублёвский яичная,11.0,34.0,4.0,370
Колбаса печеночная домашняя,15.0,22.0,0.0,258
Колбаса полукопченая Дымов салями Финская,10.0,47.0,0.0,463
Колбаса полукопченая закусочная,15.0,33.0,2.3,366
Колбаса полукопченая краковская,16.2,44.6,0.0,466
Колбаса полукопченая МД Бородина Краковская,16.0,27.0,0.0,307
Колбаса полукопченая минская,17.4,23.0,2.7,287
Колбаса полукопченая одесская,14.8,38.1,0.3,402
